favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1,Twitter Web Client,"@JohnReedwrites Editor: ""Have you spoken to xxxx? He might say yyyy?'",JohnReedwrites,False,Wed Aug 23 11:17:48 +0000 2017,0,900316136981626881
3,Twitter for iPhone,@BBCGarethG @Fronkenstrain @yvetteshapiro @AllisonMorris1 @DeclanKearneySF much,BBCGarethG,False,Thu Jan 21 23:58:14 +0000 2016,0,690322544319164416
2,Twitter for iPhone,@rodneymccune Hong Kong image: the Union flag is lowered as the Royal family blink back tears in the background. No… https://t.co/w1MDTTJqyQ,rodneymccune,False,Sat Nov 18 12:15:19 +0000 2017,0,931858354531717121
0,Twitter Web Client,More on Naomi Long skills levy proposal: would apply at a rate of 0.6% (presumably on profits) could be used to fund in-house training.,,False,Tue Jan 27 17:43:53 +0000 2015,0,560131092037242880
1,Twitter for iPhone,"Asia Supermarket, Ormeau Rd culinary/ retail landmark, has filed a planning app for a new shop/cafe/distribution hub on Ormeau Embankment",,False,Thu Oct 09 08:05:50 +0000 2014,1,520122955712712705
10,Twitter for iPhone,70 days (probably) to go.,,False,Fri Jan 18 07:07:14 +0000 2019,2,1086158052418560001
1,Twitter for iPhone,Fashion retailer @ZARA has filed a planning app to refurb &amp; extend its Belfast store - taking over vacated adjacent unit in McAuley House?,,False,Mon Nov 17 16:18:27 +0000 2014,1,534380050641346560
1,Twitter Web Client,@weepete_ prevalence of PCPs https://t.co/MDkFsGfge6,weepete_,False,Tue Jul 11 15:27:06 +0000 2017,0,884796194165338112
0,Twitter Web Client,NI avg household income sum:(Income (£26k) + direct benefits (£6k) + benefits in kind (£7k)) - direct tax (£5k) + indirect tax (£7k),,False,Mon Jun 29 09:29:14 +0000 2015,2,615451953066299392
0,Twitter for iPhone,John McCartin says they've met Aventas twice for preliminary discussions &amp; have letter asking for more info.,,False,Wed Feb 26 18:21:10 +0000 2014,1,438740539627020288
4,Twitter Web Client,We've had a look.  https://t.co/WrafMjg8LP,,False,Tue Sep 04 12:54:13 +0000 2018,0,1036960624398553089
6,Twitter for iPhone,"Lurgan brewer Clanconnell has sold a 33% stake to London-based Quintessential Brands, plans to increase production x10 reports @SMcCaughren",,False,Sun May 01 09:36:09 +0000 2016,1,726706767208525824
0,Twitter Web App,https://t.co/M1EiqkMoyD,,False,Mon Apr 08 16:46:40 +0000 2019,0,1115294902420672512
2,Twitter for iPad,What's the right pronunciation of  Didier Seeuws?,,False,Sat Jun 25 11:25:20 +0000 2016,1,746665576806899712
2,Twitter for iPhone,Eishtec jobs pay a base of just over £14k for a 40hr week but there's commission on top of that. http://t.co/wbB4y7B86v,,False,Thu Apr 02 16:01:59 +0000 2015,1,583660659080060928
1,Twitter for iPad,Mood music https://t.co/MQGP33EUuY,,False,Sat May 26 17:39:37 +0000 2018,0,1000431274819977216
1,Twitter for iPhone,@julianoneill Winter is Coming...,julianoneill,False,Tue Jun 17 09:14:55 +0000 2014,0,478828125309374464
0,Twitter Web Client,@helentbbc how did the worker directors perform at VW during the emissions scandal?,helentbbc,False,Mon Jul 11 08:27:58 +0000 2016,0,752419147708035072
7,Twitter for iPad,@johnycassidy Interesting point from one of NI's experts on exporting via @SluggerOToole https://t.co/uHp7c716VL,johnycassidy,False,Tue May 09 20:22:36 +0000 2017,5,862040123474685952
1,Twitter Web Client,Henig asked about backstop as 'best of both worlds' - he's 'unconvinced' because of  'uncerrtainty factor' - (both… https://t.co/caVPbIX9tv,JP_Biz,False,Wed Feb 13 12:45:07 +0000 2019,2,1095665168829296640
9,Twitter for iPad,Peter McSwiney says the trade view is that the Customs Bill is a poor piece of legislation.,JP_Biz,False,Wed Mar 07 16:18:52 +0000 2018,3,971419922789224449
4,Twitter Web Client,Michael Gove says there'll always be some areas of UK where more is spent on Agri when asked about fact that N Ire gets c9% of UK SFP money,,False,Sat Jul 22 15:22:57 +0000 2017,2,888781418138017792
0,Twitter for iPhone,@BBCWorldTonight @danmc2 Did he happen to mention an administratively simple replacement?,BBCWorldTonight,False,Tue Sep 16 18:39:07 +0000 2014,0,511947404602798080
0,Twitter for iPhone,@FlipChartRick I think you'll find this is a bit of top notch trolling by @PrayForPatrick which has won the internet this weekend,FlipChartRick,False,Sun Jun 28 17:48:06 +0000 2015,0,615215105903591428
0,Twitter Web Client,Belfast International Airport's reaction to ruling in the Aer Lingus case http://t.co/HCym8GRFNv,,False,Thu Jun 25 15:54:50 +0000 2015,0,614099441583325184
0,Twitter for iPhone,"@weepete_ ta, interesting.",weepete_,False,Fri Apr 11 19:44:26 +0000 2014,0,454706557771853824
0,Twitter for iPhone,"Belfast City Council to pay the Living Wage. Will cost approx £56k pa, lifting pay for 40 staff. Living Wage = £7.45 an hour.",,False,Fri Apr 25 11:40:52 +0000 2014,0,459658294937014275
0,Twitter for iPhone,The extremely busy Cookstown developers McAleer &amp; Rushe have also started a resi site on the Malone Rd in Belfast (near top of Cadogan Park),,False,Sat Feb 06 11:27:42 +0000 2016,0,695931872870821888
1,Twitter Web Client,"@FSB_NI we have no one to attend to JMC, other than the SoS",FSB_NI,False,Tue Jan 17 12:09:39 +0000 2017,1,821328628348813313
2,Twitter for iPhone,"Vodafone buying Phones4u shops in Newtownabbey, Bangor, Ballymena &amp; Omagh saving 21 jobs. Uncertainty remains for further 8 shops.",,False,Mon Sep 22 15:30:24 +0000 2014,5,514074239847370753
1,Twitter Web Client,@AislingTax @markdevenport correct,AislingTax,False,Wed Jun 29 09:59:11 +0000 2016,0,748093448411054080
