favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter Web Client,‘Tom Elliott won’t make a bit of difference’ – @M_McGuinness_SF  https://t.co/V1upK8NDA8  | @Ulster_Herald http://t.co/ZEEyrNW6vz,,False,Fri May 08 21:13:38 +0000 2015,0,596785051070767104
1,Twitter Web Client,@julianoneill Think the family obtained it by marriage. Just reading up on the history. Interesting http://t.co/xxi9vQR1OX,julianoneill,False,Thu Jun 05 15:48:15 +0000 2014,0,474578454416195585
10,TweetDeck,DETI Minister @jonathanfbell has announced 74 'new' jobs for Fermanagh/Omagh area. Fine print: 46 of these jobs are already in place.,,False,Mon Feb 15 11:38:42 +0000 2016,10,699196128609366022
0,Twitter for Android Tablets,"At this rate, and with 10 candidates, this count won't be completed tonight. #ee14 #VoteNI2014",,False,Mon May 26 16:05:55 +0000 2014,0,470959022603264000
0,Twitter for Android,FoI data reveals dramatic cut in road repairs being carried out in Co Tyrone - Ulster Herald  http://t.co/OE05na1iPW,,False,Sat Apr 04 20:40:26 +0000 2015,2,584455509874499585
0,Twitter for Android Tablets,It's understood around 20 school children taken to Altnagelvin Hospital. Most suffering broken bones.,,False,Mon Sep 22 09:42:00 +0000 2014,0,513986563160948736
1,Twitter for Android,"Although for the crowd that'll be at it, they could have payed it in Emyvale. #mckennacup",,False,Sat Jan 17 18:33:04 +0000 2015,0,556519589954473984
4,Twitter for Android,Tidy. 👌 https://t.co/ZjeQ4dcYUP,,False,Sat Jul 14 16:23:13 +0000 2018,1,1018169054404759553
1,Twitter for Android,@PaddyDavidson1 Yeah https://t.co/XtReTPgA2M,PaddyDavidson1,False,Thu Feb 21 23:10:11 +0000 2019,0,1098721574797094923
3,Twitter Web Client,@RossHusseyMLA The larder was bare when I got to the till. Apparently the UUP ate them out of all food by 9am.,RossMHussey,False,Fri May 06 08:20:20 +0000 2016,0,728499626383396864
5,Twitter for Android,"90% chance of rain they said (for the wedding day). Don't normally subscribe to organised religion, but headless Ch… https://t.co/91eGt5m0wB",,False,Fri Jun 02 21:02:50 +0000 2017,1,870747561178664960
0,Twitter for Websites,Judge accepts apology from drug accused who threatened him - Ulster Herald http://t.co/wNLwEIaVmA,,False,Wed Aug 06 07:41:58 +0000 2014,0,496924123843403776
0,Twitter Web Client,@DavidMiller27 Hi Dave. Is the pic yours? Are you happy for us to stick it up and credit you?,DavidMiller27,False,Fri Aug 26 09:20:24 +0000 2016,0,769102183669370880
1,Twitter for Android,I fear @jeremycorbyn has watched one too many England international game. #nationalanthem,,False,Tue Sep 15 22:39:30 +0000 2015,1,643917082602684416
0,Twitter for Android,@krishgm @Annabel_Giles You handsome devil.,krishgm,False,Sat Nov 23 23:42:22 +0000 2013,0,404394523281063936
0,Twitter for Websites,Charity makes plea to help save government owned rare breeds destined for slaughter - Ulster Herald http://t.co/jrCMgj3r1K,,False,Fri Aug 29 13:08:44 +0000 2014,0,505341278431617024
0,Twitter for Android,PSNI are investigating the sudden death of a 19yo woman in Omagh yesterday. A 24yo man has been arrested on a no. of suspected drug offences,,False,Sun Aug 20 14:05:31 +0000 2017,2,899271179910991872
1,Twitter Web Client,'Alasdair has poured an abundance of life and love into this party. He is SDLP through and through.' - @columeastwood #SDLP15,,False,Sat Nov 14 17:32:42 +0000 2015,4,665583146986029057
0,Twitter Web Client,#TyroneACL Division One looking very competitive this year. Just 2 points separating the top 6 teams. Round 12/15. #GAA,,False,Sat Aug 17 16:41:56 +0000 2013,0,368774707266330624
0,Twitter Web Client,@theplathdiaries No! Back in Omagh at work!!,theplathdiaries,False,Sun Aug 31 12:54:58 +0000 2014,0,506062590943191040
1,Twitter for Android,The 'tackle' about the only skill the Aussies appear able to deploy with any effect. That and odd off the ball box.,,False,Sat Oct 26 18:41:32 +0000 2013,0,394171957606105088
1,Twitter for Android,"The leader of the EPP in the EU Parl has just urged Theresa May to ""sack Johnson"".",RyanMcAleerbiz,False,Tue Oct 03 07:31:30 +0000 2017,1,915117088280326145
